instance_id,city_id,cluster_pattern,scale,instance_seed,lower_bound,upper_bound,gap,status,bks_technicians,bks_travel_time_min,bks_waiting_time_min,method,run_seed,source_run_seeds,validator_status,solution_file,solution_sha256,dataset_release,source_reference_batch
GISB-BJS-CU-100-S056,BJS,CU,100,56,1,1,0,K-OPT,1,738.234085,105.749935,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CU-100-S056_solution.csv,c5c082ace3aafbff160193bd6bf34041032307314d7f52f2640f6cde2c7f7faf,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-100-S078,BJS,CU,100,78,1,1,0,K-OPT,1,685.710339,173.105266,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CU-100-S078_solution.csv,61cd7cd9ba1d8f0acdaa048adf7928ad98d50864bcc9b4e9fe95807688e6a7f4,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-100-S090,BJS,CU,100,90,1,1,0,K-OPT,1,731.281486,110.559043,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CU-100-S090_solution.csv,fac555511f3278daee2e71f0eaef428cc1327a97d9a54e7574afdbffab2b2962,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-1000-S012,BJS,CU,1000,12,5,7,2,K-OPEN,7,11480.26323,110.130348,IGA,404.0,404,PASS,solutions/GISB-BJS-CU-1000-S012_solution.csv,cb0e30d216a93341a119681cd620b4b1bc01652d3402936b3311c083def667ff,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-1000-S034,BJS,CU,1000,34,5,7,2,K-OPEN,7,11329.548475,35.358531,IGA,101.0,101,PASS,solutions/GISB-BJS-CU-1000-S034_solution.csv,42d36e144c0d1de8cd3f57dd933b91e521dd3e6ecb4ae1f0092dd01ebf853544,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-1000-S056,BJS,CU,1000,56,5,7,2,K-OPEN,7,11307.515378,794.602049,IGA,303.0,303,PASS,solutions/GISB-BJS-CU-1000-S056_solution.csv,eb6063005dd30c0e05d0afd71ac36f54f56dbda3b4d0c61377ca1e83c8ff7f7f,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-1000-S078,BJS,CU,1000,78,5,7,2,K-OPEN,7,10658.714851,315.009994,IGA,505.0,505,PASS,solutions/GISB-BJS-CU-1000-S078_solution.csv,59117149d373eb01383d8aecb11b1ce1c4a02c236a066c6b1e38bce837d341ee,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-1000-S090,BJS,CU,1000,90,5,6,1,K-OPEN,6,11438.712164,173.167663,IGA,101.0,101,PASS,solutions/GISB-BJS-CU-1000-S090_solution.csv,ad98974968bced6693917cffb9a604311b41f2b281b92a9f981a3afe3ae73c11,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-500-S012,BJS,CU,500,12,3,4,1,K-OPEN,4,5678.480425,44.386896,IGA,303.0,303,PASS,solutions/GISB-BJS-CU-500-S012_solution.csv,75bf4585abaac19cb74b3daa3225b46fef9fde81e730e2060b2f409b23f2d8af,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-500-S034,BJS,CU,500,34,3,3,0,K-OPT,3,5624.334689,39.34415,IGA_fixed_K3_refinement_5x90s,404.0,404,PASS,solutions/GISB-BJS-CU-500-S034_solution.csv,567e4d4ad0f3755182a1e0ef57adf70075a701744ba1ccca208dcf178b525429,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-500-S056,BJS,CU,500,56,3,3,0,K-OPT,3,5743.627561,69.898759,IGA,505.0,505,PASS,solutions/GISB-BJS-CU-500-S056_solution.csv,c076874ed36f68a32600d0c98685adc857fb67017f946f9111ba45207081aa38,GIS-B-ME-v1.0,20260909_reference_after_small45
