instance_id,city_id,cluster_pattern,scale,instance_seed,lower_bound,upper_bound,gap,status,bks_technicians,bks_travel_time_min,bks_waiting_time_min,method,run_seed,source_run_seeds,validator_status,solution_file,solution_sha256,dataset_release,source_reference_batch
GISB-CKG-CU-500-S034,CKG,CU,500,34,3,4,1,K-OPEN,4,6706.123492,124.257875,IGA,505.0,505,PASS,solutions/GISB-CKG-CU-500-S034_solution.csv,195dcfa4bd329ed71ecfc260ce8ce6a702cc71112f4c02a1016ee6bacb4dc93d,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-500-S056,CKG,CU,500,56,3,4,1,K-OPEN,4,6600.25277,663.036684,IGA,505.0,505,PASS,solutions/GISB-CKG-CU-500-S056_solution.csv,e3e0fad6aeefbb4ba1cf269f58415de5ae87b3fbcc877145c683b2942cde62f4,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-500-S078,CKG,CU,500,78,3,4,1,K-OPEN,4,6287.677626,74.132012,IGA,505.0,505,PASS,solutions/GISB-CKG-CU-500-S078_solution.csv,cf70f219bb9f816e21b98707244b2564075601ff27e35650e9775c908ddf5f7d,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CU-500-S090,CKG,CU,500,90,3,4,1,K-OPEN,4,6157.57945,62.067037,IGA,404.0,404,PASS,solutions/GISB-CKG-CU-500-S090_solution.csv,b501d699b3093d932d3468547159255aae3f40e85495abb2d4be25e7c7fde97e,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-100-S012,CKG,CZ,100,12,1,1,0,K-OPT,1,156.945153,163.453963,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CZ-100-S012_solution.csv,7d6ffb5412a8c00fa9b1ca3503360691e3487e9a40104708be868fac38566332,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-100-S034,CKG,CZ,100,34,1,1,0,K-OPT,1,151.149583,173.820614,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CZ-100-S034_solution.csv,24768e82665e100653a650e92b451391ae561f5f879adcb5232c5859d01ed5a1,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-100-S056,CKG,CZ,100,56,1,1,0,K-OPT,1,178.661455,28.350666,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CZ-100-S056_solution.csv,3b5167c595bf2ab58916471729c2d45512ae4c77173d22355f17071069071143,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-100-S078,CKG,CZ,100,78,1,1,0,K-OPT,1,357.170952,233.696267,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CZ-100-S078_solution.csv,c43e39e6eb44752674c4f971f96e3eb7b22c867e4b16ed6306320fffcedb494a,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-100-S090,CKG,CZ,100,90,1,1,0,K-OPT,1,258.758721,140.822575,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-CKG-CZ-100-S090_solution.csv,51b1b896db21a9df52737aa966a01ad27e647abbd4773b2931270ffaaa088e7f,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-1000-S012,CKG,CZ,1000,12,5,6,1,K-OPEN,6,11001.745298,142.170675,IGA,101.0,101,PASS,solutions/GISB-CKG-CZ-1000-S012_solution.csv,6bd216556e89569f5512442e2f7a11757fc42d195f6749d48fa23a19ff8a5270,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-1000-S034,CKG,CZ,1000,34,5,7,2,K-OPEN,7,12429.976621,76.601245,IGA,202.0,202,PASS,solutions/GISB-CKG-CZ-1000-S034_solution.csv,57a48c035a6336f705e7bcb42eb355ade23f19bdb76d687fa5a94b12a2656d83,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-1000-S056,CKG,CZ,1000,56,5,6,1,K-OPEN,6,8760.882312,220.277025,IGA,404.0,404,PASS,solutions/GISB-CKG-CZ-1000-S056_solution.csv,873848d8725758a20627cded9df2fe8ed5c03caa6c008b1ed9f06f7d9f3ec0a6,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-1000-S078,CKG,CZ,1000,78,5,6,1,K-OPEN,6,8731.382831,47.947339,IGA,505.0,505,PASS,solutions/GISB-CKG-CZ-1000-S078_solution.csv,7460eaa5c3550c94a891eff4a762b06f2be28041c8bf148fb0f55d17aa84b344,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-1000-S090,CKG,CZ,1000,90,5,6,1,K-OPEN,6,11247.949556,378.862826,IGA,505.0,505,PASS,solutions/GISB-CKG-CZ-1000-S090_solution.csv,8e4e3cb980c43c109ad7cb2444397bc60d63ac5b8c1435d85537e923f51ee1d4,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-500-S012,CKG,CZ,500,12,3,3,0,K-OPT,3,4980.997541,127.876,IGA,101.0,101,PASS,solutions/GISB-CKG-CZ-500-S012_solution.csv,3fbd816839e667c04313e5f9f29a1323722552fde3e3ece2bd84d6d8c7b40ee0,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-500-S034,CKG,CZ,500,34,3,3,0,K-OPT,3,3760.18151,137.955326,IGA,202.0,202,PASS,solutions/GISB-CKG-CZ-500-S034_solution.csv,793abbeb274e12d26bc60a06050beb0c962d2b401e0973e796846e1e3614cd95,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-500-S056,CKG,CZ,500,56,3,3,0,K-OPT,3,3405.786984,54.868256,IGA,303.0,303,PASS,solutions/GISB-CKG-CZ-500-S056_solution.csv,2865b253e17145e3e15405ece5ef5276cfcd92573476d955a4060cd2e61185dc,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-500-S078,CKG,CZ,500,78,3,3,0,K-OPT,3,5622.636294,89.878839,IGA,202.0,202,PASS,solutions/GISB-CKG-CZ-500-S078_solution.csv,e77825e5eb1d45e3207c7eaafe0ab452da82ad0afac54e775586117a9c269cf4,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-CKG-CZ-500-S090,CKG,CZ,500,90,3,3,0,K-OPT,3,3826.234503,153.783799,IGA,101.0,101,PASS,solutions/GISB-CKG-CZ-500-S090_solution.csv,9f05350ab32a4b26cc4b97719c47cd4213a9a0d6bef26cfefdc375d7509e0689,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-SHA-CH-100-S012,SHA,CH,100,12,1,1,0,K-OPT,1,668.9220604419055,116.9344688337632,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CH-100-S012_solution.csv,cec52c5701d4ef07856e340e03bc3c626b3be8f83a77ed57e5fd3958c9578f2b,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-100-S034,SHA,CH,100,34,1,1,0,K-OPT,1,655.3593619881729,1.4921397450962106e-13,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CH-100-S034_solution.csv,c2596f15ac1cbecbdbe624edbb7af24bc706c39579e4e4c4911b38261e1f2741,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-100-S056,SHA,CH,100,56,1,1,0,K-OPT,1,725.5126311440453,197.6033685232735,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CH-100-S056_solution.csv,ea414f34f0eb5baae85328ca75e2be50bbff7c6c4c1c1e8087cb4170ff730776,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-100-S078,SHA,CH,100,78,1,1,0,K-OPT,1,719.4879834605716,212.52093743145824,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CH-100-S078_solution.csv,d43366829bce9587cc8e9534a7784aedadd8b34b6ccdcb62b86f674cdcdb3081,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-100-S090,SHA,CH,100,90,1,1,0,K-OPT,1,749.1177820384696,93.3164581612588,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CH-100-S090_solution.csv,6c6ba664bf62872c16d60804484646deb0a29f943d1afe0b7df61aa83c00e7ef,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-1000-S012,SHA,CH,1000,12,5,6,1,K-OPEN,6,10739.646884119256,138.4052029485675,IGA,303.0,303,PASS,solutions/GISB-SHA-CH-1000-S012_solution.csv,430eddbdf38248f1df9f0f02dc4a910ebff70d917f204100c7d86d5587fd82cb,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-1000-S034,SHA,CH,1000,34,5,6,1,K-OPEN,6,10768.59814097086,77.62890124195931,IGA,202.0,202,PASS,solutions/GISB-SHA-CH-1000-S034_solution.csv,c237859e8aced5f123fc6fb9bcdeffc40e62e7985c359e2444b14ea5f6113f89,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-1000-S056,SHA,CH,1000,56,5,6,1,K-OPEN,6,10966.256353472463,260.38479708453644,IGA,505.0,505,PASS,solutions/GISB-SHA-CH-1000-S056_solution.csv,fd8eb9f169f365d7280790797f0d0fb52e862758d9700912670ab5230fe9c579,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-1000-S078,SHA,CH,1000,78,5,6,1,K-OPEN,6,10880.792111102332,240.2458529909952,IGA,303.0,303,PASS,solutions/GISB-SHA-CH-1000-S078_solution.csv,296ca423b30b232e1ea4ad8a4fdfd3880af667c6cdf4041f2a7cb690b10c8e2e,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-1000-S090,SHA,CH,1000,90,5,6,1,K-OPEN,6,10991.60911916003,606.1983673195673,IGA,202.0,202,PASS,solutions/GISB-SHA-CH-1000-S090_solution.csv,eaad13f008b7dad84d5b56ba8d5a1f7d43f2dd45696600b468988907c5d0f39f,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-500-S012,SHA,CH,500,12,3,3,0,K-OPT,3,5232.456247531899,141.91258086064715,IGA,505.0,505,PASS,solutions/GISB-SHA-CH-500-S012_solution.csv,434bd6c62e5abac08fd6639e3036ff2cd6d721f7409627a29a312ed7041c3ac2,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-500-S034,SHA,CH,500,34,3,3,0,K-OPT,3,5597.621661614208,45.65384362779595,IGA,303.0,303,PASS,solutions/GISB-SHA-CH-500-S034_solution.csv,6f22556ea9637039c8d545cd098732dc995b0c0e4de2a6bfd096c20c13f9111a,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-500-S056,SHA,CH,500,56,3,3,0,K-OPT,3,5461.474614697148,55.6589442265235,IGA,404.0,404,PASS,solutions/GISB-SHA-CH-500-S056_solution.csv,fb9066b1e8e3a85dc054728383d2becaac22965df0c5ce64ef5a056a52f11073,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-500-S078,SHA,CH,500,78,3,3,0,K-OPT,3,5215.8004420843245,93.73865224347188,IGA,404.0,404,PASS,solutions/GISB-SHA-CH-500-S078_solution.csv,cadf0c61d669a95e774ae5183affadffe69bf39e92feae025d54e75b715c6b2d,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CH-500-S090,SHA,CH,500,90,3,3,0,K-OPT,3,5605.818109296422,84.008875549906,IGA,404.0,404,PASS,solutions/GISB-SHA-CH-500-S090_solution.csv,c35eff7b20a119ee3554634d67112f1d9d8f0856fa8e02b61d43ec7a2a73761b,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-100-S012,SHA,CU,100,12,1,1,0,K-OPT,1,656.619292247872,97.17753449731404,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CU-100-S012_solution.csv,b223de366233a8ef4e8435f0f95df0f4e42ae7fce6af61041e13645060ec08de,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-100-S034,SHA,CU,100,34,1,1,0,K-OPT,1,667.4393730826062,115.68449383378692,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CU-100-S034_solution.csv,bedd408c2f2a7a60ed554f1f8be01cb3f3b86672fe52e11ec36a535abd743143,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-100-S056,SHA,CU,100,56,1,1,0,K-OPT,1,685.1793863515172,2.504663143554353e-13,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CU-100-S056_solution.csv,db8a043ce2a84732ce814774e22b1b075b593952a06b7ffd5f9a00f367593f05,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-100-S078,SHA,CU,100,78,1,1,0,K-OPT,1,722.7449258129101,101.82061452579184,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CU-100-S078_solution.csv,d214d235f0262df3a7747a547a476fdab0ba276be42e1b3316730bba2cbc7da2,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-100-S090,SHA,CU,100,90,1,1,0,K-OPT,1,642.2407881826978,116.18316494700602,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CU-100-S090_solution.csv,942ea0b01b24a51f264884d40af3cc4f279443b3c9ad6208cf3f8162e8769818,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-1000-S012,SHA,CU,1000,12,5,6,1,K-OPEN,6,10874.00594931459,122.24488909163408,IGA,101.0,101,PASS,solutions/GISB-SHA-CU-1000-S012_solution.csv,46c94916c765fe3d82e73234daabdbe0ba6ab80405206b70a9570683be31662e,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-1000-S034,SHA,CU,1000,34,5,6,1,K-OPEN,6,11222.236637923424,179.33040724357758,IGA,202.0,202,PASS,solutions/GISB-SHA-CU-1000-S034_solution.csv,f79d5d6461de7e793e641b276b554ebf8099d0785a5c2fa260a417ffdaa4f9aa,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-1000-S056,SHA,CU,1000,56,5,6,1,K-OPEN,6,10811.8599763473,68.25869883652375,IGA,505.0,505,PASS,solutions/GISB-SHA-CU-1000-S056_solution.csv,853092519034cc8ef745b723f5640586e8d75f2a00abeb68b6c0434148e69c44,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-1000-S078,SHA,CU,1000,78,5,6,1,K-OPEN,6,10823.234122767686,24.1744718459874,IGA,505.0,505,PASS,solutions/GISB-SHA-CU-1000-S078_solution.csv,1290053c340decc31b328084edcf31208dfb1c0fe35caa99c211ff142cb2ae78,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-1000-S090,SHA,CU,1000,90,5,6,1,K-OPEN,6,10870.024949802884,126.00824210690324,IGA,404.0,404,PASS,solutions/GISB-SHA-CU-1000-S090_solution.csv,17976cc8f74909f160025398ee59b348c7214ea94e7737c7c5865cd8cd358d80,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-500-S012,SHA,CU,500,12,3,3,0,K-OPT,3,4973.894197143828,177.67604108175618,IGA,505.0,505,PASS,solutions/GISB-SHA-CU-500-S012_solution.csv,2bc377bc732033149d9d4d0d3d1130b062f65722aa50602abc535aecb9aedb29,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-500-S034,SHA,CU,500,34,3,3,0,K-OPT,3,5034.028864175526,306.29846464281337,IGA,404.0,404,PASS,solutions/GISB-SHA-CU-500-S034_solution.csv,876afe460757557a6a165f0241dcb324cacc94054f52a01ef687e23d81e35178,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-500-S056,SHA,CU,500,56,3,3,0,K-OPT,3,5337.6605661887415,39.32507140419422,IGA,404.0,404,PASS,solutions/GISB-SHA-CU-500-S056_solution.csv,3bb4236d28a1b4257f85cbb904de2d4bfabc7be4e6fd8478b5670b9d5b025915,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-500-S078,SHA,CU,500,78,3,3,0,K-OPT,3,5361.0657572443015,131.65540818236315,IGA,303.0,303,PASS,solutions/GISB-SHA-CU-500-S078_solution.csv,18d73fd42bf1e4ba80ad3762bb09600000339269632b563b15d2c8d67505ae55,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CU-500-S090,SHA,CU,500,90,3,3,0,K-OPT,3,5295.853627489936,230.17720887250573,IGA,303.0,303,PASS,solutions/GISB-SHA-CU-500-S090_solution.csv,10e3e73f37eebdd7824edab44a1486b4fc51d17b4b1cdbdd78a421187618d30f,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-100-S012,SHA,CZ,100,12,1,1,0,K-OPT,1,196.08791562050143,164.56855013732064,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CZ-100-S012_solution.csv,366df40794f3e59f1fe0399953c9213d3db5e11453d4a0c3533cf69fa6747527,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-100-S034,SHA,CZ,100,34,1,1,0,K-OPT,1,215.9498271815793,512.1213177124374,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CZ-100-S034_solution.csv,c44c134878367ee70db071260fc7370914a6dfdd70cc18e224e97e5d4c13627a,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-100-S056,SHA,CZ,100,56,1,1,0,K-OPT,1,229.56937392769527,405.1920056118064,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CZ-100-S056_solution.csv,b19ea384ac3dde140815a43c43994a3416f87d6a7f3108fc8efca738fc56fc04,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-100-S078,SHA,CZ,100,78,1,1,0,K-OPT,1,224.0189429700901,72.83439756208483,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CZ-100-S078_solution.csv,5d0135c97ea18dbf29ebe541f40ae3c63cf96f0cc0a2f5b2c25009882c55ccc6,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-100-S090,SHA,CZ,100,90,1,1,0,K-OPT,1,203.7103405622039,83.20943960472233,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-SHA-CZ-100-S090_solution.csv,c5e7298b689c28ee8c37ffcbcf74c21c1ad626803359f876f195a9d44f0ae72c,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-1000-S012,SHA,CZ,1000,12,5,6,1,K-OPEN,6,7956.04487007315,280.76241920086204,IGA,101.0,101,PASS,solutions/GISB-SHA-CZ-1000-S012_solution.csv,bc6fa76570dae5a3268d4ce827ba6df65d650e7b2b7c105597edb7478c8c2190,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-1000-S034,SHA,CZ,1000,34,5,6,1,K-OPEN,6,8632.129098686959,133.1807685294812,IGA,505.0,505,PASS,solutions/GISB-SHA-CZ-1000-S034_solution.csv,7d2f3bfd0fa5d3201189fc513d12bfdf0390854a30e43b790ad6ed926d970263,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-1000-S056,SHA,CZ,1000,56,5,6,1,K-OPEN,6,8513.589066604309,189.74081338969745,IGA,505.0,505,PASS,solutions/GISB-SHA-CZ-1000-S056_solution.csv,194d8df45c2cc52afd6ee0e3a35f8959644df59d95fcbeaa77f27b61a6cadcc4,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-1000-S078,SHA,CZ,1000,78,5,6,1,K-OPEN,6,8692.55428289619,213.864666782398,IGA,202.0,202,PASS,solutions/GISB-SHA-CZ-1000-S078_solution.csv,cc899c714a0fbb03cb16438de377b154268b76527402c6cdef36db48ee819e3b,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-1000-S090,SHA,CZ,1000,90,5,6,1,K-OPEN,6,7908.264647222857,316.39708189989483,IGA,404.0,404,PASS,solutions/GISB-SHA-CZ-1000-S090_solution.csv,87b6c5856fe4850edb7d4eb9c180167b8d0dce1a937bdabb667eaa156269a9a1,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-500-S012,SHA,CZ,500,12,3,3,0,K-OPT,3,3160.065963192684,109.72579330316916,IGA,404.0,404,PASS,solutions/GISB-SHA-CZ-500-S012_solution.csv,8cef27086798e1f18315a16307b1766100f92ebd0f749097aaadc78e11faaaa2,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-500-S034,SHA,CZ,500,34,3,3,0,K-OPT,3,3136.4942292556134,41.291319112985775,IGA,505.0,505,PASS,solutions/GISB-SHA-CZ-500-S034_solution.csv,14fd2408bea4c2069d5e479809952c3cbe21e09d0c305017e8d95eabaeb9ac89,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-500-S056,SHA,CZ,500,56,3,3,0,K-OPT,3,3291.348907447023,418.0890610607051,IGA,404.0,404,PASS,solutions/GISB-SHA-CZ-500-S056_solution.csv,8454503652a9ea03c16a21c4e5ab85184b0471575c6f962ac292de24083060e9,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-500-S078,SHA,CZ,500,78,3,3,0,K-OPT,3,4502.699384692228,46.54063052403082,IGA,303.0,303,PASS,solutions/GISB-SHA-CZ-500-S078_solution.csv,a9dc47ca7e0bcdd1dc33330841ec8ffacf40cb48b0a8c314ef4bb27f1d89d63e,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
GISB-SHA-CZ-500-S090,SHA,CZ,500,90,3,3,0,K-OPT,3,3751.2567113096393,223.1569153366104,IGA,505.0,505,PASS,solutions/GISB-SHA-CZ-500-S090_solution.csv,5dc991b217e46f4ccf2d23dfec590a481d9266b065e375f6e359da8744a0a6ca,GIS-B-ME-v1.0,20260917_sha_snapshot_rebuild_rc2
