pool_mode,instances,improved_instances,mean_improvement_pct_formal_denominator,cumulative_savings_min,weighted_improvement_pct,validated,pool_optimal
5IGA,45,32,1.6087200463650444,397.97993220253124,1.5344004293733722,45,45
B0_5IGA,45,32,1.6401724268401403,407.80231480379916,1.5722703490887842,45,45
