group_dimension,group_value,instances,tasks,K_OPT,K_OPEN,Gap1,Gap2,mean_tasks_per_used_building,mean_multi_task_building_share,task_share_RES,task_share_OFF,task_share_COM,task_share_SCH,mean_cluster_count,mean_cluster_cv,mean_normalized_spatial_dispersion,mean_bks_travel_time_min,mean_unit_task_travel_time_min,improved_instances,mean_improvement_pct,cumulative_savings_min
overall,ALL,135,72000,77,58,40,18,2.353018072486029,0.7308735579594104,0.7294027777777777,0.12919444444444445,0.0865,0.05490277777777778,76.66666666666667,0.24660582794607624,0.24229194308596821,5528.1608015395595,10.365301502886675,,,
scale,100,45,4500,45,0,0,0,2.346193952033368,0.7424400417101147,0.7195555555555555,0.14022222222222222,0.08688888888888889,0.05333333333333334,15.0,0.24254765984663065,0.2053238520016782,567.3191144447297,5.673191144447298,,,
scale,500,45,22500,32,13,13,0,2.329192546583851,0.7201863354037267,0.7312444444444445,0.12515555555555555,0.08764444444444444,0.05595555555555556,72.0,0.24934388423296633,0.2557906138105928,5128.024146963635,10.25604829392727,,,
scale,1000,45,45000,0,45,27,18,2.365806214184323,0.7351348509542085,0.7294666666666667,0.13011111111111112,0.08588888888888889,0.054533333333333336,143.0,0.2479259397586319,0.2657613634456335,10889.13914321032,10.889139143210318,,,
city,BJS,45,24000,27,18,11,7,2.3856858846918487,0.7116302186878728,0.7297083333333333,0.132375,0.087875,0.050041666666666665,76.66666666666667,0.2466058279460763,0.24117720166551604,5442.237656933334,10.20419560675,,,
city,CKG,45,24000,20,25,14,11,2.4906600249066004,0.7549813200498132,0.7297083333333333,0.12908333333333333,0.08841666666666667,0.05279166666666667,76.66666666666667,0.2466058279460763,0.24014261383915428,6040.681514822222,11.326277840291667,,,
city,SHA,45,24000,30,15,15,0,2.2012290195359077,0.7273227552049895,0.7287916666666666,0.126125,0.08320833333333333,0.061875,76.66666666666667,0.2466058279460763,0.24555601375323424,5101.563232863126,9.56543106161836,,,
pattern,CH,45,24000,24,21,13,8,2.358258818905375,0.7310602338606662,0.7252083333333333,0.130125,0.08858333333333333,0.05608333333333333,76.66666666666667,0.2891710857471638,0.28178304811107113,6050.728799736047,11.345116499505089,,,
pattern,CU,45,24000,23,22,13,9,2.347877127763647,0.726570142829192,0.7319583333333334,0.12545833333333334,0.087375,0.05520833333333333,76.66666666666667,0.2253231990455325,0.2799216839687025,6017.601603112796,11.283003005836491,,,
pattern,CZ,45,24000,30,15,14,1,2.3529411764705883,0.735,0.7310416666666667,0.132,0.08354166666666667,0.05341666666666667,76.66666666666667,0.2253231990455325,0.1651710971781309,4516.1520017698385,8.467785003318447,,,
city_pattern,BJS|CH,15,8000,9,6,3,3,2.3837902264600714,0.7163289630512515,0.7275,0.129125,0.089875,0.0535,76.66666666666667,0.28917108574716377,0.2773449003305545,5909.9753593999985,11.081203798874999,,,
city_pattern,BJS|CU,15,8000,8,7,3,4,2.3788284269997026,0.7047279214986619,0.726375,0.132625,0.090125,0.050875,76.66666666666667,0.22532319904553255,0.2805486594415265,5900.564464466666,11.063558370875,,,
city_pattern,BJS|CZ,15,8000,10,5,5,0,2.3944926668662077,0.7138581263094882,0.73525,0.135375,0.083625,0.04575,76.66666666666667,0.22532319904553255,0.16563804522446698,4516.173146933334,8.4678246505,,,
city_pattern,CKG|CH,15,8000,5,10,5,5,2.521273242987709,0.7582729278285534,0.725625,0.13575,0.08875,0.049875,76.66666666666667,0.28917108574716377,0.2799815531774716,6576.979472933333,12.33183651175,,,
city_pattern,CKG|CU,15,8000,5,10,5,5,2.4929884699283265,0.7519476472421315,0.72975,0.124625,0.091,0.054625,76.66666666666667,0.22532319904553255,0.2713539447379361,6553.701117266669,12.288189594875004,,,
city_pattern,CKG|CZ,15,8000,10,5,4,1,2.4585125998770745,0.7547633681622619,0.73375,0.126875,0.0855,0.053875,76.66666666666667,0.22532319904553255,0.16909234360205516,4991.363954266666,9.358807414249998,,,
city_pattern,SHA|CH,15,8000,10,5,5,0,2.192982456140351,0.7209429824561403,0.7225,0.1255,0.087125,0.064875,76.66666666666667,0.28917108574716377,0.2880226908251873,5665.231566874806,10.622309187890261,,,
city_pattern,SHA|CU,15,8000,10,5,5,0,2.191780821917808,0.7243835616438357,0.73975,0.119125,0.081,0.060125,76.66666666666667,0.22532319904553255,0.2878624477266449,5598.539227605055,10.497261051759478,,,
city_pattern,SHA|CZ,15,8000,10,5,5,0,2.219140083217753,0.7367545076282941,0.724125,0.13375,0.0815,0.060625,76.66666666666667,0.22532319904553255,0.16078290270787052,4040.9189041095146,7.57672294520534,,,
table11_route_pool,5IGA,45,4500,45,0,0,0,,,,,,,,,,,,32.0,1.6087200463650444,397.97993220253124
table11_route_pool,B0_5IGA,45,4500,45,0,0,0,,,,,,,,,,,,32.0,1.6401724268401403,407.80231480379916
